Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T)
2017-02-20,2360,2370,2330,2350,Rise,10,0,755300,177375787
2017-02-21,2370,2400,2360,2380,Rise,30,1,784260,187197440
2017-02-22,2400,2400,2380,2400,Rise,20,1,941610,225145705
2017-02-23,2380,2400,2380,2380,Fall,20,1,594370,142159360
2017-02-24,2370,2400,2370,2390,Rise,10,0,761705,182340245
2017-02-27,2400,2400,2370,2370,Fall,20,1,528935,126258897
2017-02-28,2380,2400,2380,2390,Rise,20,1,1354880,324132250
2017-03-01,2370,2390,2370,2390,Unchnaged,0,0,535205,127395122
2017-03-02,2390,2400,2370,2370,Fall,20,1,790960,188633540
2017-03-03,2380,2390,2370,2370,Unchnaged,0,0,428595,102086805
2017-03-06,2380,2390,2370,2390,Rise,20,1,493820,117757515
2017-03-07,2400,2400,2380,2400,Rise,10,0,941185,225518867
2017-03-08,2410,2420,2400,2400,Unchnaged,0,0,812595,195655305
2017-03-09,2410,2430,2400,2410,Rise,10,1,728135,175844255
2017-03-10,2430,2430,2400,2410,Unchnaged,0,0,760760,183800067
2017-03-13,2430,2430,2400,2410,Unchnaged,0,0,979635,236560865
2017-03-14,2400,2420,2400,2410,Fall,0,0,540995,130511252
2017-03-15,2410,2440,2410,2430,Rise,20,1,1214375,295594557
2017-03-16,2460,2510,2460,2500,Rise,70,3,2700630,673555762
2017-03-17,2540,2600,2540,2600,Rise,100,4,3714115,960413987
2017-03-20,2620,2650,2580,2600,Unchnaged,0,0,1087675,283931062
2017-03-21,2600,2620,2590,2600,Unchnaged,0,0,1071510,278882845
2017-03-22,2590,2640,2560,2640,Rise,40,2,2376980,620132872
2017-03-23,2600,2630,2580,2630,Fall,10,0,1161640,304410962
2017-03-24,2620,2630,2610,2630,Unchnaged,0,0,493890,129634147
2017-03-27,2630,2630,2540,2550,Fall,80,3,719880,184480852
2017-03-29,2580,2590,2560,2560,Rise,10,0,1387600,356513590
2017-03-30,2510,2590,2510,2590,Rise,30,1,885170,226230702
2017-03-31,2570,2610,2570,2590,Rise,0,0,740650,191868522
2017-04-03,2590,2630,2590,2600,Rise,10,0,1204260,313797870
2017-04-04,2560,2620,2560,2600,Unchnaged,0,0,581850,151661145
2017-04-05,2600,2610,2590,2600,Fall,0,0,834215,216873137
2017-04-06,2600,2640,2580,2630,Rise,30,1,629310,164302220
2017-04-07,2630,2640,2600,2610,Fall,20,1,1409220,369207290
2017-04-10,2620,2650,2580,2620,Rise,10,0,1023165,268340262
2017-04-11,2620,2620,2560,2580,Fall,40,2,396060,102691825
2017-04-12,2580,2590,2550,2550,Fall,30,1,378010,97182450
2017-04-13,2600,2610,2540,2540,Fall,10,1,571435,146823570
2017-04-17,2550,2550,2480,2480,Fall,60,2,447440,113149337
2017-04-18,2520,2590,2520,2570,Rise,90,4,631845,162653812
2017-04-20,2600,2600,2540,2550,Fall,20,1,1144370,294344852
2017-04-21,2550,2590,2550,2580,Rise,30,1,852100,219198262
2017-04-25,2600,2630,2600,2620,Rise,40,2,1907470,498698050
2017-04-26,2630,2640,2610,2640,Rise,20,1,1582810,416860550
2017-04-27,2630,2640,2580,2600,Fall,40,2,681695,177674602
2017-04-28,2630,2630,2580,2580,Fall,20,1,505855,131578040
2017-05-02,2620,2620,2600,2610,Rise,30,1,1331565,347623337
2017-05-03,2620,2650,2610,2640,Rise,30,1,1528775,403125345
2017-05-04,2650,2780,2650,2780,Rise,140,5,2011830,549177352
2017-05-05,2800,2800,2740,2780,Unchnaged,0,0,822630,228177065
2017-05-08,2770,2840,2770,2820,Rise,40,1,1822590,514338422
2017-05-09,2820,2870,2800,2800,Fall,20,1,1395950,394991400
2017-05-10,2840,2850,2790,2790,Fall,10,0,1028975,290071447
2017-05-12,2800,2830,2740,2800,Rise,10,0,1207170,338100102
2017-05-15,2850,2860,2830,2860,Rise,60,2,1226145,348768482
2017-05-16,2870,2910,2800,2800,Fall,60,2,1144550,326740465
2017-05-17,2830,2860,2780,2820,Rise,20,1,1264470,358248770
2017-05-18,2750,2820,2730,2820,Unchnaged,0,0,1436835,402422545
2017-05-19,2770,3060,2760,2900,Rise,80,3,1810540,519360077
2017-05-22,2960,3050,2920,2920,Rise,20,1,1618635,479685655
2017-05-23,3040,3040,2870,2890,Fall,30,1,1001360,291377522
2017-05-24,2870,2870,2820,2830,Fall,60,2,1134355,322007565
2017-05-26,2830,2860,2820,2840,Rise,10,1,1375890,390791800
2017-05-29,2860,2860,2820,2840,Fall,0,0,438565,124536450
2017-05-30,2800,2860,2800,2840,Unchnaged,0,0,419585,119485522
2017-05-31,2850,2910,2840,2890,Rise,50,2,1661595,480158612
2017-06-02,2910,2950,2910,2950,Rise,60,2,887650,259739450
2017-06-05,2950,3000,2920,3000,Rise,50,2,892890,266598630
2017-06-06,2970,3000,2920,2930,Fall,70,2,822695,243550895
2017-06-07,2970,2980,2950,2980,Rise,50,2,870015,258511027
2017-06-08,3000,3000,2930,2930,Fall,50,2,663865,197178055
2017-06-09,2900,2910,2860,2870,Fall,60,2,1450345,417459645
2017-06-12,2840,2970,2840,2920,Rise,50,2,462865,135466147
2017-06-13,2900,2910,2890,2890,Fall,30,1,590855,171492642
2017-06-14,2900,2970,2900,2970,Rise,80,3,800210,234389585
2017-06-15,2920,2950,2920,2930,Fall,40,1,545985,160417042
2017-06-16,2940,2950,2910,2930,Unchnaged,0,0,1656490,485650932
2017-06-19,2920,2960,2920,2960,Rise,30,1,445830,130856425
2017-06-20,2960,2990,2940,2990,Rise,30,1,594785,176476050
2017-06-21,2980,3060,2960,3060,Rise,70,2,1143425,343461970
2017-06-22,3030,3050,3010,3050,Fall,10,0,1299175,393311260
2017-07-03,3000,3100,2990,3100,Rise,50,2,2223695,675314277
2017-07-04,3050,3080,3050,3060,Fall,40,1,1462825,449012162
2017-07-05,3050,3060,3020,3040,Fall,20,1,1188810,361219930
2017-07-06,3020,3040,3010,3010,Fall,30,1,1178945,355732612
2017-07-07,3000,3050,3000,3010,Unchnaged,0,0,1019920,307954402
2017-07-10,3010,3020,2940,2940,Fall,70,2,954580,283561707
2017-07-11,2920,2970,2920,2920,Fall,20,1,1136760,332991707
2017-07-12,2920,2980,2920,2960,Rise,40,1,741135,218932342
2017-07-13,2980,2980,2950,2980,Rise,20,1,830530,246520970
2017-07-14,2960,2970,2920,2960,Fall,20,1,1570495,462657080
2017-07-17,2960,3000,2950,3000,Rise,40,1,678820,202036547
2017-07-18,2950,2980,2930,2980,Fall,20,1,1019085,302521715
2017-07-19,2980,2980,2940,2940,Fall,40,1,694635,205586130
2017-07-20,2940,2950,2930,2940,Unchnaged,0,0,928395,273440062
2017-07-21,2970,2970,2930,2930,Fall,10,0,395955,116513452
2017-07-24,2900,2960,2900,2930,Unchnaged,0,0,968055,284204600
2017-07-25,2950,2970,2940,2960,Rise,30,1,864425,255713762
2017-07-26,2960,2980,2940,2950,Fall,10,0,1226875,362711547
2017-07-27,2950,2950,2940,2940,Fall,10,1,766885,225861265
2017-07-28,2930,2940,2860,2900,Fall,40,1,2280020,664797810
2017-07-31,2880,3000,2880,2950,Rise,50,2,2242325,663284610
2017-08-01,2980,2980,2950,2960,Rise,10,0,865135,256204170
2017-08-02,2950,2990,2950,2990,Rise,30,1,530400,158036035
2017-08-03,2990,2990,2960,2970,Fall,20,1,1018155,303408890
2017-08-04,2970,2990,2970,2980,Rise,10,1,578585,172499575
2017-08-07,2980,2990,2970,2980,Fall,0,0,702200,209491175
2017-08-08,2990,3000,2980,2990,Rise,10,0,762705,228074515
2017-08-09,3000,3020,2990,3000,Rise,10,1,994655,298428882
2017-08-10,3000,3010,2990,3000,Fall,0,0,840240,251746507
2017-08-11,2990,3020,2980,3000,Unchnaged,0,0,1501920,449856197
2017-08-14,3000,3020,2990,3010,Rise,10,1,811060,244015225
2017-08-15,3000,3020,3000,3010,Fall,0,0,858485,258518592
2017-08-16,3000,3050,3000,3050,Rise,40,1,710885,215120345
2017-08-18,3020,3050,2990,3030,Fall,20,1,791915,239650165
2017-08-21,3000,3050,3000,3050,Rise,20,1,962980,293391147
2017-08-22,3030,3070,3030,3060,Rise,10,0,1150015,351664917
2017-08-23,3070,3070,3040,3060,Unchnaged,0,0,589190,180294335
2017-08-24,3050,3070,3030,3040,Fall,20,0,508505,155103200
2017-08-25,3070,3070,3040,3060,Rise,20,0,632945,193620125
2017-08-28,3060,3060,3030,3040,Fall,20,0,336415,102310862
2017-08-29,3030,3030,2980,2990,Fall,50,2,791885,237199580
2017-08-30,2990,3020,2980,3010,Rise,20,1,543990,163552580
2017-08-31,3020,3030,3010,3020,Rise,10,0,581180,175537045
2017-09-04,2990,3020,2970,2970,Fall,50,2,648770,194170330
2017-09-05,3020,3020,2960,3000,Rise,30,1,317875,95099885
2017-09-06,2950,2980,2940,2970,Fall,30,1,917930,272211492
2017-09-07,2960,3000,2960,3000,Rise,30,1,584905,174713512
2017-09-08,2970,3000,2970,3000,Unchnaged,0,0,522665,156489965
2017-09-11,3000,3010,2980,2990,Fall,10,0,832845,249353712
2017-09-12,2960,3000,2960,2980,Fall,10,0,990225,296139822
2017-09-13,2960,2990,2960,2980,Fall,0,0,428835,127872165
2017-09-14,2960,2980,2960,2960,Fall,20,1,485270,144140182
2017-09-15,2980,3000,2960,2970,Rise,10,0,1528440,454766887
2017-09-18,2980,3000,2970,3000,Rise,30,1,848900,253977715
2017-09-19,3000,3010,2990,3000,Rise,0,0,818805,245631180
2017-09-20,3000,3000,2990,3000,Unchnaged,0,0,586130,175891067
2017-09-22,3020,3140,3010,3130,Rise,130,4,1826650,566070572
2017-09-25,3130,3150,3130,3130,Unchnaged,0,0,819885,257310280
2017-09-26,3130,3140,3100,3110,Fall,20,1,1231330,383140772
2017-09-27,3110,3110,3030,3050,Fall,60,2,1002820,306555445
2017-09-28,3000,3040,2930,2940,Fall,110,4,1301280,387941082
2017-09-29,2990,3060,2970,3050,Rise,110,4,1651175,502248882
2017-10-02,3050,3100,3050,3050,Fall,0,0,696485,213720657
2017-10-03,3070,3080,3050,3060,Rise,10,0,504415,154830307
2017-10-04,3080,3090,3050,3050,Fall,10,0,496205,152387877
2017-10-05,3080,3080,3020,3060,Rise,10,0,687345,209910075
2017-10-06,3100,3100,3030,3070,Rise,10,0,917270,281752032
2017-10-09,3100,3100,3060,3070,Unchnaged,0,0,1003465,308540917
2017-10-10,3050,3070,3050,3050,Fall,20,1,682215,208910400
2017-10-11,3050,3080,3030,3050,Unchnaged,0,0,633035,193680325
2017-10-12,3060,3090,3050,3070,Rise,20,1,1629685,499585245
2017-10-13,3060,3090,3060,3070,Fall,0,0,1241815,381433697
2017-10-16,3060,3100,3060,3070,Unchnaged,0,0,572990,176124985
2017-10-17,3060,3090,3050,3080,Rise,10,0,720125,221205635
2017-10-18,3080,3090,3060,3080,Unchnaged,0,0,1224345,376480605
2017-10-19,3100,3100,3060,3100,Rise,20,1,1370145,421551535
2017-10-20,3100,3130,3090,3120,Rise,20,1,1079250,336006992
2017-10-23,3140,3140,3110,3120,Unchnaged,0,0,823900,257240245
2017-10-24,3140,3140,3090,3090,Fall,30,1,579740,180019022
2017-10-25,3090,3140,3090,3120,Rise,30,1,799745,248931725
2017-10-26,3140,3150,3120,3120,Rise,0,0,1130165,353531232
2017-10-27,3120,3140,3110,3120,Fall,0,0,1345685,420080037
2017-10-30,3130,3140,3100,3110,Fall,10,0,1157115,360196832
2017-10-31,3140,3140,3110,3120,Rise,10,0,1243475,387963392
2017-11-01,3110,3140,3110,3140,Rise,20,1,486050,152079122
2017-11-02,3140,3190,3130,3190,Rise,50,2,1216725,386143607
2017-11-03,3190,3210,3180,3200,Rise,10,0,740165,236729382
2017-11-06,3210,3280,3200,3250,Rise,50,2,1582530,514569505
2017-11-07,3250,3270,3230,3240,Fall,10,0,791455,256631735
2017-11-08,3260,3360,3250,3290,Rise,50,2,1981855,653433955
2017-11-09,3290,3310,3280,3290,Unchnaged,0,0,1870670,615847962
2017-11-10,3320,3370,3270,3280,Fall,10,0,1001474,330234913
2017-11-13,3280,3330,3260,3260,Fall,20,1,559861,184066368
2017-11-14,3250,3300,3170,3170,Fall,90,3,1051873,337892623
2017-11-15,3180,3210,3120,3140,Fall,30,1,790497,250009834
2017-11-16,3150,3240,3150,3210,Rise,70,2,780152,249964809
2017-11-17,3250,3310,3210,3290,Rise,80,2,1140547,373305582
2017-11-20,3300,3380,3290,3340,Rise,50,2,923090,309118954
2017-11-21,3310,3330,3270,3280,Fall,60,2,1098247,361519767
2017-11-22,3290,3410,3280,3400,Rise,120,4,1476375,497237510
2017-11-23,3350,3400,3350,3360,Fall,40,1,497037,167530755
2017-11-24,3360,3360,3340,3350,Fall,10,0,827152,276856421
2017-11-27,3310,3350,3280,3300,Fall,50,1,1064551,351458043
2017-11-28,3320,3380,3280,3380,Rise,80,2,1375677,460245804
2017-11-29,3390,3400,3300,3300,Fall,80,2,1038890,345391809
2017-11-30,3300,3350,3210,3210,Fall,90,3,2016688,657940735
2017-12-04,3330,3350,3260,3300,Rise,90,3,1332361,440598255
2017-12-05,3340,3360,3310,3350,Rise,50,2,653742,218298877
2017-12-06,3350,3470,3340,3460,Rise,110,3,1666549,570055111
2017-12-07,3460,3470,3380,3380,Fall,80,2,572181,195139835
2017-12-08,3400,3430,3370,3370,Fall,10,0,656532,222708074
2017-12-11,3430,3440,3410,3440,Rise,70,2,669014,229264015
2017-12-12,3450,3460,3410,3450,Rise,10,0,614131,211323422
2017-12-13,3450,3450,3420,3450,Unchnaged,0,0,430155,148037482
2017-12-14,3430,3460,3390,3460,Rise,10,0,962284,329834391
2017-12-15,3460,3460,3380,3390,Fall,70,2,1140112,387175654
2017-12-18,3390,3400,3350,3390,Unchnaged,0,0,692790,234028556
2017-12-19,3430,3440,3390,3440,Rise,50,1,908678,310887829
2017-12-20,3460,3460,3390,3400,Fall,40,1,753302,256810546
2017-12-21,3440,3460,3410,3420,Rise,20,1,687277,235710077
2017-12-22,3430,3470,3410,3460,Rise,40,1,661267,227313721
2017-12-27,3470,3550,3460,3550,Rise,90,3,836572,294885388
2017-12-28,3580,3650,3560,3630,Rise,80,2,929530,335680130
2017-12-29,3650,3720,3580,3640,Rise,10,0,1077085,392734480
2018-01-02,3690,3720,3610,3630,Fall,10,0,911271,334484497
2018-01-03,3630,3630,3560,3610,Fall,20,1,701487,252155187
2018-01-04,3610,3610,3460,3550,Fall,60,2,1564063,549739766
2018-01-05,3550,3590,3520,3590,Rise,40,1,870956,309952285
2018-01-08,3590,3590,3560,3590,Unchnaged,0,0,545591,195157143
