Date,Close
2015-10-08,1995
2015-10-09,2110
2015-10-12,2160
2015-10-13,2000
2015-10-15,2020
2015-10-16,2060
2015-10-19,2080
2015-10-20,2120
2015-10-21,2110
2015-10-22,2140
2015-10-23,2240
2015-10-26,2320
2015-10-27,2320
2015-10-28,2220
2015-10-29,2150
2015-10-30,2100
2015-11-02,2050
2015-11-03,2140
2015-11-04,2210
2015-11-05,2140
2015-11-06,2140
2015-11-09,2110
2015-11-10,2090
2015-11-11,2090
2015-11-12,2100
2015-11-13,2100
2015-11-16,2100
2015-11-17,2180
2015-11-18,2190
2015-11-19,2190
2015-11-20,2200
2015-11-23,2200
2015-11-24,2210
2015-11-25,2290
2015-11-26,2290
2015-11-27,2260
2015-11-30,2150
2015-12-01,2250
2015-12-02,2250
2015-12-03,2250
2015-12-04,2260
2015-12-07,2210
2015-12-08,2180
2015-12-10,2170
2015-12-11,2160
2015-12-14,2130
2015-12-15,2150
2015-12-16,2270
2015-12-17,2310
2015-12-18,2170
2015-12-21,2220
2015-12-22,2210
2015-12-23,2220
2015-12-28,2280
2015-12-29,2280
2015-12-30,2280
2016-01-04,2290
2016-01-05,2310
2016-01-06,2300
2016-01-07,2250
2016-01-08,2320
2016-01-11,2270
2016-01-12,2320
2016-01-13,2320
2016-01-14,2340
2016-01-15,2290
2016-01-18,2280
2016-01-19,2300
2016-01-20,2200
2016-01-21,2160
2016-01-22,2250
2016-01-25,2280
2016-01-26,2260
2016-01-27,2270
2016-01-28,2250
2016-01-29,2240
2016-02-01,2240
2016-02-02,2200
2016-02-03,2180
2016-02-04,2280
2016-02-05,2460
2016-02-09,2390
2016-02-10,2350
2016-02-11,2370
2016-02-12,2360
2016-02-15,2370
2016-02-16,2380
2016-02-17,2390
2016-02-18,2400
2016-02-19,2290
2016-02-22,2190
2016-02-23,2120
2016-02-24,2130
2016-02-25,2090
2016-02-26,2170
2016-02-29,2210
2016-03-01,2140
2016-03-02,2190
2016-03-03,2230
2016-03-04,2270
2016-03-07,2280
2016-03-08,2260
2016-03-10,2200
2016-03-11,2220
2016-03-14,2230
2016-03-15,2210
2016-03-16,2210
2016-03-17,2200
2016-03-18,2220
2016-03-21,2230
2016-03-22,2230
2016-03-23,2250
2016-03-24,2250
2016-03-28,2220
2016-03-29,2190
2016-03-30,2230
2016-03-31,2280
2016-04-01,2220
2016-04-04,2220
2016-04-05,2220
2016-04-06,2230
2016-04-07,2220
2016-04-08,2160
2016-04-11,2090
2016-04-12,2120
2016-04-13,2120
2016-04-14,2040
2016-04-15,2010
2016-04-18,2040
2016-04-19,2030
2016-04-20,2090
2016-04-21,2140
2016-04-22,2180
2016-04-25,2100
2016-04-26,2040
2016-04-27,2040
2016-04-28,2070
2016-04-29,2070
2016-05-02,2050
2016-05-03,2100
2016-05-04,2070
2016-05-09,2000
2016-05-10,2010
2016-05-11,2000
2016-05-12,1980
2016-05-13,1975
2016-05-16,1990
2016-05-17,1940
2016-05-18,1905
2016-05-19,1935
2016-05-20,1960
2016-05-23,1985
2016-05-24,1965
2016-05-25,1985
2016-05-26,2060
2016-05-27,2080
2016-05-30,2120
2016-05-31,2070
2016-06-01,2090
2016-06-02,2050
2016-06-03,2080
2016-06-06,2120
2016-06-07,2130
2016-06-08,2130
2016-06-09,2070
2016-06-10,2060
2016-06-13,2020
2016-06-14,1995
2016-06-15,2010
2016-06-16,2040
2016-06-17,2050
2016-06-20,2060
2016-06-21,2080
2016-06-22,2100
2016-06-23,2080
2016-06-24,2060
2016-06-27,2040
2016-06-28,2070
2016-06-29,2130
2016-06-30,2160
2016-07-01,2150
2016-07-11,2270
2016-07-12,2300
2016-07-13,2310
2016-07-14,2270
2016-07-15,2300
2016-07-18,2290
2016-07-19,2360
2016-07-20,2370
2016-07-21,2300
2016-07-22,2280
2016-07-25,2270
2016-07-26,2310
2016-07-27,2320
2016-07-28,2280
2016-07-29,2300
2016-08-01,2340
2016-08-02,2350
2016-08-03,2330
2016-08-04,2360
2016-08-05,2390
2016-08-08,2430
2016-08-09,2400
2016-08-10,2400
2016-08-11,2380
2016-08-12,2390
2016-08-15,2400
2016-08-16,2420
2016-08-18,2420
2016-08-19,2400
2016-08-22,2370
2016-08-23,2310
2016-08-24,2330
2016-08-25,2370
2016-08-26,2350
2016-08-29,2300
2016-08-30,2300
2016-08-31,2330
2016-09-01,2340
2016-09-02,2320
2016-09-05,2360
2016-09-06,2370
2016-09-07,2390
2016-09-08,2390
2016-09-09,2350
2016-09-13,2330
2016-09-14,2340
2016-09-15,2390
2016-09-16,2380
2016-09-19,2370
